Product ID,Product Name,YouTube ID,YouTube URL,Issue Type,Product URL
19768,"Henry 3 Seater Sofa (Velvet, Graphite Grey)",KZExidsPnRY,https://www.youtube.com/watch?v=KZExidsPnRY,Missing Thumbnail,https://www.woodenstreet.com/henry-3-seater-sofa-velvet-graphite-grey
20849,"Henry 2 Seater Sofa (Velvet, Graphite Grey)",KEpokgSmPsQ,https://www.youtube.com/watch?v=KEpokgSmPsQ,Missing Thumbnail,https://www.woodenstreet.com/henry-2-seater-sofa-graphite-grey
20851,"Henry 2 Seater Sofa (Velvet, Chestnut Brown)",KEpokgSmPsQ,https://www.youtube.com/watch?v=KEpokgSmPsQ,Missing Thumbnail,https://www.woodenstreet.com/henry-2-seater-sofa-chestnut-brown
22758,Alkin Office Table (Honey Finish),STUG8shm0hg,https://www.youtube.com/watch?v=STUG8shm0hg,Missing Thumbnail,https://www.woodenstreet.com/alkin-office-table-honey-finish
22761,Alkin Office Table (Walnut Finish),STUG8shm0hg,https://www.youtube.com/watch?v=STUG8shm0hg,Missing Thumbnail,https://www.woodenstreet.com/alkin-office-table-walnut-finish
22923,Nettle Office Table Cum Shelf (Honey Finish),1vrnO1LERGA,https://www.youtube.com/watch?v=1vrnO1LERGA,Missing Thumbnail,https://www.woodenstreet.com/nettle-office-table-cum-shelf-honey-finish
22987,Adoree Lounge Chair (Chestnut Brown),Eb9u5A7OqY0,https://www.youtube.com/watch?v=Eb9u5A7OqY0,Missing Thumbnail,https://www.woodenstreet.com/adoree-lounge-chair-chestnut-brown
25786,Bella Chaise Lounge (Salmon Pink),9l4inVIPqmQ,https://www.youtube.com/watch?v=9l4inVIPqmQ,Missing Thumbnail,https://www.woodenstreet.com/bella-chaise-lounge-salmon-pink
28372,"Henry 2 Seater Kids Sofa (Velvet, Chestnut Brown)",KEpokgSmPsQ,https://www.youtube.com/watch?v=KEpokgSmPsQ,Missing Thumbnail,https://www.woodenstreet.com/henry-2-seater-kids-sofa-velvet-chestnut-brown
28374,"Henry 2 Seater Kids Sofa (Velvet, Indigo Blue)",KEpokgSmPsQ,https://www.youtube.com/watch?v=KEpokgSmPsQ,Missing Thumbnail,https://www.woodenstreet.com/henry-2-seater-kids-sofa-velvet-indigo-blue
47786,"Henry 3 Seater Sofa (Velvet, Mulberry Pink)",Iu5J7A28mTw,https://www.youtube.com/watch?v=Iu5J7A28mTw,Missing Thumbnail,https://www.woodenstreet.com/henry-3-seater-sofa-velvet-mulberry-pink
47794,"Henry 2 Seater Sofa (Velvet, Dark Olive Green)",KEpokgSmPsQ,https://www.youtube.com/watch?v=KEpokgSmPsQ,Missing Thumbnail,https://www.woodenstreet.com/henry-2-seater-sofa-velvet-dark-olive-green
56443,Nancy Dining Chairs - Set of 2 (Honey Finish),I_-ZEDaqJGY,https://www.youtube.com/watch?v=I_-ZEDaqJGY,Video Not Working,https://www.woodenstreet.com/nancy-dining-chairs-set-of-2-honey-finish
56886,Valencia 3 Seater Recliner Sofa (Saddle Brown),UZZtxbO3eAw,https://www.youtube.com/watch?v=UZZtxbO3eAw,Missing Thumbnail,https://www.woodenstreet.com/valencia-3-seater-recliner-sofa
57404,"Dexter 3 Seater Fabric Sofa (Cotton, Sand Beige)",EARpHF_q-F8,https://www.youtube.com/watch?v=EARpHF_q-F8,Missing Thumbnail,https://www.woodenstreet.com/dexter-3-seater-sofa-cotton-sand-beige
59837,Calisto Engineered Wood Study Table (Flowery Wenge Frosty White),SUTP6CLVR_Q,https://www.youtube.com/watch?v=SUTP6CLVR_Q,Video Not Working,https://www.woodenstreet.com/calisto-engineered-wood-study-table-flowery-wenge-frosty-white
59838,Calisto Engineered Wood Study Table (Exotic Teak Frosty White),SUTP6CLVR_Q,https://www.youtube.com/watch?v=SUTP6CLVR_Q,Video Not Working,https://www.woodenstreet.com/calisto-engineered-wood-study-table-exotic-teak-frosty-white
68863,Feltro Wooden Sofa Chair (Honey Irish Cream),RxTMLlxPjgE,https://www.youtube.com/watch?v=RxTMLlxPjgE,Missing Thumbnail,https://www.woodenstreet.com/feltro-wooden-sofa-chair-honey-irish-cream
76725,Adoree Arm Chair (Magnolia Beige),XM2V9YWZJFQ,https://www.youtube.com/watch?v=XM2V9YWZJFQ,Video Not Working,https://www.woodenstreet.com/adoree-arm-chair-magnolia-beige
76726,Adoree Lounge Chair (Magnolia Beige),XM2V9YWZJFQ,https://www.youtube.com/watch?v=XM2V9YWZJFQ,Video Not Working,https://www.woodenstreet.com/adoree-lounge-chair-magnolia-beige
76801,Delicate Husk Glass Vase With Wooden Base,7zGz_UP-xG8,https://www.youtube.com/watch?v=7zGz_UP-xG8,Missing Thumbnail,https://www.woodenstreet.com/delicate-husk-glass-vase-with-wooden-base
83632,Adoree Wing Back Chair (Chestnut Brown),Eb9u5A7OqY0,https://www.youtube.com/watch?v=Eb9u5A7OqY0,Missing Thumbnail,https://www.woodenstreet.com/adoree-wing-back-chair-chestnut-brown
83636,Adoree Wing Back Chair (Magnolia Beige),XM2V9YWZJFQ,https://www.youtube.com/watch?v=XM2V9YWZJFQ,Video Not Working,https://www.woodenstreet.com/adoree-wing-back-chair-magnolia-beige
84064,"Thrace Slipper Chair (Velvet, Salmon Pink)",NE15HYJLNOY,https://www.youtube.com/watch?v=NE15HYJLNOY,Video Not Working,https://www.woodenstreet.com/thrace-slipper-chair-velvet-salmon-pink
84064,"Thrace Slipper Chair (Velvet, Salmon Pink)",IBBKIDQANHI,https://www.youtube.com/watch?v=IBBKIDQANHI,Video Not Working,https://www.woodenstreet.com/thrace-slipper-chair-velvet-salmon-pink
84064,"Thrace Slipper Chair (Velvet, Salmon Pink)",FKSJHSKGJVC,https://www.youtube.com/watch?v=FKSJHSKGJVC,Video Not Working,https://www.woodenstreet.com/thrace-slipper-chair-velvet-salmon-pink
87946,Samiha Sheesham Wood Carved Side End Table (Teak Finish),1R9iur6wBIQ,https://www.youtube.com/watch?v=1R9iur6wBIQ,Video Not Working,https://www.woodenstreet.com/samiha-sheesham-wood-side-and-end-table-teak-finish
90102,"Virasat Sheesham Wood Sofa Bench With Cushioned Seat (Teak Finish, Green Stripes)",qFFi0a4yhmg,https://www.youtube.com/watch?v=qFFi0a4yhmg,Video Not Working,https://www.woodenstreet.com/virasat-cushioned-seat-hand-carved-sheesham-wood-sofa-bench-teak-finish-green-stripes
91299,Heritage Dual Upholstery Sheesham Wood Arm Chair with Brass Detailing (Blue),qFFi0a4yhmg,https://www.youtube.com/watch?v=qFFi0a4yhmg,Video Not Working,https://www.woodenstreet.com/heritage-floral-printed-fabric-sheesham-wood-arm-chair-with-brass-nails-detailing-one-piece-blue
91694,Heritage Dual Upholstery Sheesham Wood Arm Chair with Brass Detailing (Red),qFFi0a4yhmg,https://www.youtube.com/watch?v=qFFi0a4yhmg,Video Not Working,https://www.woodenstreet.com/heritage-floral-printed-fabric-sheesham-wood-arm-chair-with-brass-nails-detailing-one-piece-red
91728,"Wooden Street Penguin - Dream Lux Memory Foam Mattress | 10 Years Warranty | Medium Firm, Orthopedic Memory Foam | AeroWAVE Technology | Charcoal Infused Layer (6 inch, Single Size, 78 x 36)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/wooden-street-penguin-dream-lux-memory-foam-mattress-10-years-warranty-medium-firm-orthopedic-memory-foam-aerowave-technology-charcoal-infused-layer-6-inch-single-size-78-36
91729,"Dream Lux Memory Foam Mattress (8 inch, Single, 78 x 36)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-single-78x36
92261,"Balikos Sheesham Wood Bed with Drawer Storage and Cane Detailing (King Size, Teak Finish)",GIdQQOTO_Gg,https://www.youtube.com/watch?v=GIdQQOTO_Gg,Video Not Working,https://www.woodenstreet.com/balikos-premium-sheesham-wood-bed-with-cane-accents-and-drawer-storage-king-size-teak-finish
92436,"Dream Lux Memory Foam Mattress (6 inch, Double Bed Size, 75 X 48)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-6-inch-double-bed-size-75-x-48
92442,"Dream Lux Memory Foam Mattress (8 inch, Double Bed Size, 75 X 48)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-double-bed-size-75x48
92443,"Bamboo Bliss Latex Mattress (8 inch, Double Bed Size 75 X 48)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-double-bed-size-75x48
92446,"Bamboo Bliss Latex Mattress (6 inch, King Size 75 X 72)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-6-inch-king-size-75x72
92448,"Dream Lux Memory Foam Mattress (8 inch, King Size, 75 X 72)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-king-size-75x72
92449,"Bamboo Bliss Latex Mattress (8 inch, King Size 75 X 72)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-king-size-75x72
92452,"Bamboo Bliss Latex Mattress (6 inch, Queen Size 72 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-6-inch-queen-size-72x60
92454,"Dream Lux Memory Foam Mattress (6 inch, Queen Size, 75 X 60)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-6-inch-queen-size-75x60
92455,"Bamboo Bliss Latex Mattress (6 inch, Queen Size 75 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-6-inch-queen-size-75x60
92457,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 75 X 60)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-75x60
92458,"Bamboo Bliss Latex Mattress (8 inch, Queen Size 75 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-queen-size-75x60
92460,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 72 X 60)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-72x60
92461,"Bamboo Bliss Latex Mattress (8 inch, Queen Size 72 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,Video Not Working,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-queen-size-72x60
92463,"Dream Lux Memory Foam Mattress (6 inch, Queen Size, 78 X 66)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-6-inch-queen-size-78x66
92466,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 78 X 66)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,Video Not Working,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-78x66
92682,"Udaya Sheesham Wood Arm Chair (Green Stripe, Teak finish)",1R9iur6wBIQ,https://www.youtube.com/watch?v=1R9iur6wBIQ,Video Not Working,https://www.woodenstreet.com/udaya-sheesham-wood-arm-chair-green-stripe-teak-finish
92868,Kalam Modern Designer Sheesham Wood Study Table with Cane Accents &amp; Drawer Storage (Teak Finish),A02yK4j_wXM,https://www.youtube.com/watch?v=A02yK4j_wXM,Video Not Working,https://www.woodenstreet.com/kalam-sheesham-wood-study-table-with-cane-accent-drawers-and-cabinet-teak-finish
92971,Ashion Premium Right Aligned L Shape Sofa with Built-in Side Wooden Deck (Sage Green),xWZVJxC29Mo,https://www.youtube.com/watch?v=xWZVJxC29Mo,Video Not Working,https://www.woodenstreet.com/ashion-premium-right-aligned-l-shape-sofa-with-built-in-side-wooden-deck-green-upholstery
92972,Ashion Premium Right Aligned L Shape Sofa with Built-in Side Wooden Deck (Cottage Ivory),xWZVJxC29Mo,https://www.youtube.com/watch?v=xWZVJxC29Mo,Video Not Working,https://www.woodenstreet.com/ashion-premium-right-aligned-l-shape-sofa-with-built-in-side-wooden-deck-beige-upholstery
93050,"Virasat Sheesham Wood Sofa Bench With Cushioned Seat (Teak Finish, Blue Stripe)",qFFi0a4yhmg,https://www.youtube.com/watch?v=qFFi0a4yhmg,Video Not Working,https://www.woodenstreet.com/virasat-sheesham-wood-sofa-bench-with-cushioned-seat-teak-finish-blue-stripes
93495,"Balikos Sheesham Wood Bed with Drawer Storage and Cane Detailing (Queen Size, Teak Finish)",GIdQQOTO_Gg,https://www.youtube.com/watch?v=GIdQQOTO_Gg,Video Not Working,https://www.woodenstreet.com/balikos-sheesham-wood-bed-with-4-drawer-storage-and-cane-detailing-queen-size-teak-finish
